ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
HTBK,0001053352,Heritage Commerce Corp,,ACQUISITION,2026-04-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CVBF,Cvb Financial Corp,2026-04-20 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-18 01:32:54+00:00,sec_candidate,8.0,merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol,8-K,0001193125-26-111645,https://www.sec.gov/Archives/edgar/data/1053352/000119312526111645/d72195d8k.htm
MRCC,0001512931,Monroe Capital Corp,,ACQUISITION,2026-04-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,HRZN,Horizon Technology Finance Corp,2026-04-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-14 20:43:56+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquirer_name|acquirer_symbol,8-K,0001140361-26-014615,https://www.sec.gov/Archives/edgar/data/1512931/000114036126014615/ef20070437_8k.htm
SEE,0001012100,Sealed Air Corp,,ACQUISITION,2026-04-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Cd&r,2026-04-08 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-05 21:55:17+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-26-094173,https://www.sec.gov/Archives/edgar/data/1012100/000119312526094173/d254616d8k.htm
AL,0001487712,Air Lease Corp,,ACQUISITION,2026-04-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SSUMY,Sumitomo Corp,2026-04-07 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-06 21:06:14+00:00,sec_candidate,6.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition),8-K,0001193125-26-004412,https://www.sec.gov/Archives/edgar/data/1487712/000119312526004412/d55546d8k.htm
SWKH,0001089907,Swk Holdings Corp,,ACQUISITION,2026-04-06,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,RWAY,Runway Growth Finance Corp,2026-04-06 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-31 20:15:17+00:00,sec_candidate,8.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name|acquirer_symbol,8-K,0001552781-26-000183,https://www.sec.gov/Archives/edgar/data/1089907/000155278126000183/e26163_swkh-8k.htm
HOLX,0000859737,Hologic Inc,,ACQUISITION,2026-04-06,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Tpg Capital Lp,2026-04-06 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-29 21:02:44+00:00,sec_candidate,3.0,acquirer_name,8-K,0001140361-26-002796,https://www.sec.gov/Archives/edgar/data/859737/000114036126002796/ef20064189_8k.htm
OS,0001889956,Onestream Inc,,ACQUISITION,2026-04-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Hg Capital,2026-04-02 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-06 22:20:37+00:00,sec_candidate,12.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|change\s+of\s+control|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-26-004772,https://www.sec.gov/Archives/edgar/data/1889956/000119312526004772/d13008d8k.htm
BLFY,0001846017,Blue Foundry Bancorp,,ACQUISITION,2026-04-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FULT,Fulton Financial Corp,2026-04-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-11-25 11:30:29+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-25-294478,https://www.sec.gov/Archives/edgar/data/1846017/000119312525294478/d922774d8k.htm
TBHC,0001056285,Brand House Collective Inc,,ACQUISITION,2026-04-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NXH,Neighborhood Intelligence Inc,2026-04-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-17 20:34:35+00:00,sec_candidate,4.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement,8-K,0001437749-26-008617,https://www.sec.gov/Archives/edgar/data/1056285/000143774926008617/tbhc20260317_8k.htm
GLDD,0001372020,Great Lakes Dredge & Dock Corp,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Saltchuk Resources Inc,2026-03-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-18 13:23:39+00:00,sec_candidate,5.0,tender\s+offer|acquirer_name,8-K,0001171843-26-001707,https://www.sec.gov/Archives/edgar/data/1372020/000117184326001707/f8k_031826.htm
ONTF,0001110611,On24 Inc,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Cvent LLC,2026-03-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-19 21:28:38+00:00,sec_candidate,11.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-26-116242,https://www.sec.gov/Archives/edgar/data/1110611/000119312526116242/d110196d8k.htm
