ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source
LBRDA,0001611983,Liberty Broadband Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,CHTR,Charter Communications Inc,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
TALK,0001803901,Talkspace Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,UHS,Universal Health Services Inc,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
AVB,0000915912,Avalonbay Communities Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,VMRK,Vivmark Residential,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
MDV,0001645873,Modiv Industrial Inc,,ACQUISITION,2026-08-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GNL,Global Net Lease Inc,2026-08-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
ELSE,0000351789,Electro Sensors Inc,,ACQUISITION,2026-08-05,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Steute Industrial Controls Inc.,2026-08-05 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
EA,0000712515,Electronic Arts Inc,,ACQUISITION,2026-08-04,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Silver Lake Partners Lp,2026-08-04 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
ORLA,0001680056,Orla Mining Ltd.,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,EQX,Equinox Gold Corp,2026-07-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
AFBI,0001823406,Affinity Bancshares Inc,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Fidelity Bancshares Nc Inc,2026-07-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
LPRO,0001806201,Open Lending Corp,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Anv Group Holdings Ltd.,2026-07-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
SKYT,0001819974,Skywater Technology Inc,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,IONQ,Ionq Inc,2026-07-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
AVNS,0001606498,Avanos Medical Inc,,ACQUISITION,2026-07-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,American Industrial Partners Corp,2026-07-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
TMHC,0001562476,Taylor Morrison Home Corp,,ACQUISITION,2026-07-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,BRK.B,Berkshire Hathaway Inc,2026-07-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
