ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
SEM,0001320414,Select Medical Holdings Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Ortenzio Robert A,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-03 13:58:41+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001104659-26-022577,https://www.sec.gov/Archives/edgar/data/1320414/000110465926022577/tm267827d1_8k.htm
STEL,0001473844,Stellar Bancorp Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,PB,Prosperity Bancshares Inc,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-28 11:44:00+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001104659-26-007183,https://www.sec.gov/Archives/edgar/data/1473844/000110465926007183/tm264235d2_8k.htm
SILA,0001567925,Sila Realty Trust Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OWL,Blue Owl Capital Inc,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-08-12 21:14:30+00:00,sec_candidate,6.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001567925-25-000072,https://www.sec.gov/Archives/edgar/data/1567925/000156792525000072/cik0001567925-20250812.htm
JHG,0001274173,Janus Henderson Group PLC,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Trian Fund Management Lp,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-22 14:19:11+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001104659-25-123536,https://www.sec.gov/Archives/edgar/data/1274173/000110465925123536/tm2534023d1_8k.htm
PRA,0001127703,Proassurance Corp,,ACQUISITION,2026-06-25,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,The Doctors Company,2026-06-25 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-06-24 20:18:42+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0002031090-25-000010,https://www.sec.gov/Archives/edgar/data/1127703/000203109025000010/pra-20250624.htm
CWAN,0001866368,Clearwater Analytics Holdings Inc,,ACQUISITION,2026-06-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Warburg Pincus LLC,2026-06-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-22 12:38:36+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0000950157-25-001016,https://www.sec.gov/Archives/edgar/data/1866368/000095015725001016/form8-k.htm
CNTA,0001847903,Centessa Pharmaceuticals PLC,,ACQUISITION,2026-06-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,LLY,Eli Lilly & Co.,2026-06-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-31 20:21:59+00:00,sec_candidate,9.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-134656,https://www.sec.gov/Archives/edgar/data/1847903/000119312526134656/d145970d8k.htm
ASRT,0001005201,Assertio Holdings Inc,,ACQUISITION,2026-06-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Zydus Lifesciences Ltd.,2026-06-16 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings_in_window,,,,,
KW,0001408100,Kennedy-wilson Holdings Inc,,ACQUISITION,2026-06-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FRFHF,Fairfax Financial Holdings Ltd.,2026-06-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-02 13:59:06+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001408100-26-000088,https://www.sec.gov/Archives/edgar/data/1408100/000140810026000088/kw-20260302.htm
KALV,0001348911,Kalvista Pharmaceuticals Inc,,ACQUISITION,2026-06-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Chiesi Farmaceutici SpA,2026-06-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-09-29 20:27:33+00:00,sec_candidate,6.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-25-223262,https://www.sec.gov/Archives/edgar/data/1348911/000119312525223262/d83242d8k.htm
