symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
AVNS,0001606498,Avanos Medical Inc,,ACQUISITION,2026-07-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,American Industrial Partners Corp,ACQUISITION
TMHC,0001562476,Taylor Morrison Home Corp,,ACQUISITION,2026-07-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BRK.B,Berkshire Hathaway Inc,ACQUISITION
CCRN,0001141103,Cross Country Healthcare Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Knox Lane Lp,ACQUISITION
KORE,0001855457,Kore Group Holdings Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Abry Partners LLC,ACQUISITION
NSA,0001618563,National Storage Affiliates Trust,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,PSA,Public Storage,ACQUISITION
NFBK,0001493225,Northfield Bancorp Inc,,ACQUISITION,2026-07-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CLBK,Columbia Financial Inc,ACQUISITION
NUVL,0001861560,Nuvalent Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GSK,Gsk PLC,ACQUISITION
CPRX,0001369568,Catalyst Pharmaceuticals Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Angelini Pharma SpA,ACQUISITION
GTLS,0000892553,Chart Industries Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BKR,Baker Hughes Co.,ACQUISITION
EEX,0001579214,Emerald Holding Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,APO,Apollo Global Management Inc,ACQUISITION
ESPR,0001434868,Esperion Therapeutics Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Archimed,ACQUISITION
XOMA,0000791908,Xoma Royalty Corp,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,LGND,Ligand Pharmaceuticals Inc,ACQUISITION
