cik,ticker,date,prediction_ts,feature_timestamp,strategic_alternatives_hit_ever,strategic_alternatives_count_ever,investment_bank_hit_ever,investment_bank_count_ever,change_of_control_hit_ever,change_of_control_count_ever,committee_hit_ever,committee_count_ever,transaction_hit_ever,transaction_count_ever,confidentiality_hit_ever,confidentiality_count_ever,financing_hit_ever,financing_count_ever,any_event_language_hit_ever,strategic_alternatives_hit_30d,strategic_alternatives_count_30d,investment_bank_hit_30d,investment_bank_count_30d,change_of_control_hit_30d,change_of_control_count_30d,committee_hit_30d,committee_count_30d,transaction_hit_30d,transaction_count_30d,confidentiality_hit_30d,confidentiality_count_30d,financing_hit_30d,financing_count_30d,any_event_language_hit_30d,strategic_alternatives_hit_90d,strategic_alternatives_count_90d,investment_bank_hit_90d,investment_bank_count_90d,change_of_control_hit_90d,change_of_control_count_90d,committee_hit_90d,committee_count_90d,transaction_hit_90d,transaction_count_90d,confidentiality_hit_90d,confidentiality_count_90d,financing_hit_90d,financing_count_90d,any_event_language_hit_90d,strategic_alternatives_hit_180d,strategic_alternatives_count_180d,investment_bank_hit_180d,investment_bank_count_180d,change_of_control_hit_180d,change_of_control_count_180d,committee_hit_180d,committee_count_180d,transaction_hit_180d,transaction_count_180d,confidentiality_hit_180d,confidentiality_count_180d,financing_hit_180d,financing_count_180d,any_event_language_hit_180d,strategic_alternatives_first_seen_ts,strategic_alternatives_first_seen_within_90d,investment_bank_first_seen_ts,investment_bank_first_seen_within_90d,change_of_control_first_seen_ts,change_of_control_first_seen_within_90d,committee_first_seen_ts,committee_first_seen_within_90d,transaction_first_seen_ts,transaction_first_seen_within_90d,confidentiality_first_seen_ts,confidentiality_first_seen_within_90d,financing_first_seen_ts,financing_first_seen_within_90d,cash_runway_months,market_cap,volume_to_20d_avg,next_event_date,next_event_type,event_20d,time_to_event_trading_days
0000882291,AEMD,2016-03-29,2016-03-29 20:00:00+00:00,2016-02-23 21:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,61,1,3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,1,28,1,22,1,26,1,0,0,0,0,1,34,0,0,1,28,1,22,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2732
0000882291,AEMD,2016-03-30,2016-03-30 20:00:00+00:00,2016-02-23 21:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,61,1,3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,1,28,1,22,1,26,1,0,0,0,0,1,34,0,0,1,28,1,22,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2731
0000882291,AEMD,2016-03-31,2016-03-31 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2730
0000882291,AEMD,2016-04-01,2016-04-01 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2729
0000882291,AEMD,2016-04-04,2016-04-04 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2728
0000882291,AEMD,2016-04-05,2016-04-05 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2727
0000882291,AEMD,2016-04-06,2016-04-06 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2726
0000882291,AEMD,2016-04-07,2016-04-07 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2725
0000882291,AEMD,2016-04-08,2016-04-08 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2724
0000882291,AEMD,2016-04-11,2016-04-11 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2723
0000882291,AEMD,2016-04-12,2016-04-12 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2722
0000882291,AEMD,2016-04-13,2016-04-13 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2721
0000882291,AEMD,2016-04-14,2016-04-14 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2720
0000882291,AEMD,2016-04-15,2016-04-15 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2719
0000882291,AEMD,2016-04-18,2016-04-18 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2718
0000882291,AEMD,2016-04-19,2016-04-19 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,34,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2717
0000882291,AEMD,2016-04-20,2016-04-20 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2716
0000882291,AEMD,2016-04-21,2016-04-21 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2715
0000882291,AEMD,2016-04-22,2016-04-22 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2714
0000882291,AEMD,2016-04-25,2016-04-25 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2713
0000882291,AEMD,2016-04-26,2016-04-26 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2712
0000882291,AEMD,2016-04-27,2016-04-27 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2711
0000882291,AEMD,2016-04-28,2016-04-28 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2710
0000882291,AEMD,2016-04-29,2016-04-29 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2709
0000882291,AEMD,2016-05-02,2016-05-02 20:00:00+00:00,2016-03-31 20:00:00+00:00,1,1,0,0,1,62,0,0,1,265,1,63,1,3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,1,28,1,24,1,26,1,0,0,0,0,1,27,0,0,1,28,1,24,1,40,1,2009-08-04 20:00:00+00:00,0,,0,2009-07-02 20:00:00+00:00,0,,0,2001-07-30 20:00:00+00:00,0,2001-07-30 20:00:00+00:00,0,2004-06-09 20:00:00+00:00,0,,,,2026-09-17,MERGER,0,2708
